zip_code,city,lat,long,pop,state,state_name
01339,HAWLEY,42.621802,-72.880162,1325,MA,Massachusetts
01340,COLRAIN,42.67905,-72.726508,2050,MA,Massachusetts
01341,CONWAY,42.513832,-72.702473,1524,MA,Massachusetts
01342,DEERFIELD,42.540636,-72.607234,1281,MA,Massachusetts
01344,ERVING,42.604957,-72.416638,635,MA,Massachusetts
01346,HEATH,42.685347,-72.839101,174,MA,Massachusetts
01349,MILLERS FALLS,42.576206,-72.494626,1893,MA,Massachusetts
01350,MONROE,42.723885,-72.960156,97,MA,Massachusetts
01351,MONTAGUE,42.542864,-72.532837,1699,MA,Massachusetts
01355,NEW SALEM,42.514643,-72.306241,456,MA,Massachusetts
01360,NORTHFIELD,42.688705,-72.450995,2829,MA,Massachusetts
01364,NEW SALEM,42.591231,-72.305867,8544,MA,Massachusetts
01366,PETERSHAM,42.489761,-72.189349,1131,MA,Massachusetts
01367,ROWE,42.695289,-72.925776,630,MA,Massachusetts
01370,SHELBURNE FALLS,42.602203,-72.739059,4525,MA,Massachusetts
01373,SOUTH DEERFIELD,42.475616,-72.615268,5118,MA,Massachusetts
01375,SUNDERLAND,42.453947,-72.567569,3399,MA,Massachusetts
01376,TURNERS FALLS,42.606521,-72.54701,7100,MA,Massachusetts
01379,WENDELL,42.565644,-72.400851,393,MA,Massachusetts
01420,FITCHBURG,42.579563,-71.803133,41194,MA,Massachusetts
01430,ASHBURNHAM,42.649614,-71.92666,5433,MA,Massachusetts
01431,ASHBY,42.674462,-71.817369,2649,MA,Massachusetts
01432,AYER,42.55914,-71.578763,6871,MA,Massachusetts
01433,FT DEVENS,42.532416,-71.621819,8480,MA,Massachusetts
01436,BALDWINVILLE,42.593568,-72.064647,4386,MA,Massachusetts
01440,GARDNER,42.57405,-71.9898,20125,MA,Massachusetts
01450,GROTON,42.612351,-71.558371,7504,MA,Massachusetts
01451,HARVARD,42.498565,-71.575293,4445,MA,Massachusetts
01452,HUBBARDSTON,42.486538,-72.001159,2797,MA,Massachusetts
01453,LEOMINSTER,42.52744,-71.756308,38145,MA,Massachusetts
01460,LITTLETON,42.540132,-71.487667,7066,MA,Massachusetts
01462,LUNENBURG,42.58843,-71.726642,9117,MA,Massachusetts
01463,PEPPERELL,42.668888,-71.593392,10178,MA,Massachusetts
01464,SHIRLEY CENTER,42.558653,-71.646444,6118,MA,Massachusetts
01468,TEMPLETON,42.545976,-72.064971,2058,MA,Massachusetts
01469,TOWNSEND,42.652511,-71.689646,6112,MA,Massachusetts
01473,WESTMINSTER,42.548319,-71.909599,6191,MA,Massachusetts
01474,W TOWNSEND,42.670404,-71.74057,2452,MA,Massachusetts
01475,WINCHENDON,42.678943,-72.047524,8805,MA,Massachusetts
01501,AUBURN,42.205502,-71.839144,15007,MA,Massachusetts
01503,BERLIN,42.384438,-71.635634,2293,MA,Massachusetts
01504,BLACKSTONE,42.028708,-71.52691,8023,MA,Massachusetts
01505,BOYLSTON,42.337727,-71.731042,3517,MA,Massachusetts
